iter	Passed	Remaining
366	228975	394936
367	229604	394320
368	230237	393712
369	231023	393364
370	231822	393035
371	232465	392440
372	233233	392057
373	234118	391866
374	234890	391484
375	235641	391064
376	236567	390932
377	237234	390370
378	237847	389718
379	238477	389094
380	239195	388614
381	239842	388017
382	240580	387566
383	241246	386999
384	241871	386366
385	242674	386016
386	243448	385617
387	244058	384959
388	244629	384237
389	245345	383745
390	245954	383085
391	246597	382477
392	247746	382651
393	248388	382038
394	248895	381219
395	249525	380589
396	250290	380164
397	250955	379585
398	251631	379023
399	252343	378514
400	252907	377784
401	253712	377413
402	254444	376931
403	255333	376680
404	256120	376275
405	256730	375611
406	257440	375091
407	258175	374608
408	258727	373858
409	259526	373464
410	260253	372966
411	261037	372548
412	261701	371958
413	262304	371281
414	263019	370761
415	263792	370323
416	264521	369822
417	265177	369217
418	265884	368685
419	266728	368340
420	267405	367761
421	267976	367038
422	268596	366383
423	269503	366118
424	270004	365299
425	270620	364638
426	271259	364008
427	271853	363317
428	272610	362845
429	273363	362365
430	274057	361806
431	274873	361407
432	275591	360878
433	276478	360569
434	277056	359855
435	277740	359278
436	278412	358687
437	278976	357956
438	279567	357260
439	280267	356703
440	280793	355926
441	281477	355349
442	282181	354796
443	282831	354176
444	283523	353608
445	284290	353132
446	285057	352654
447	285877	352242
448	286544	351639
449	287313	351160
450	288034	350623
451	288787	350123
452	289421	349477
453	290017	348787
454	290785	348303
455	291528	347788
456	292129	347104
457	292714	346400
458	293503	345938
459	294183	345345
460	294799	344679
461	295453	344056
462	296208	343550
463	296964	343044
464	297592	342391
465	298643	342222
466	299320	341622
467	299940	340958
468	300608	340348
469	301230	339685
470	301791	338955
471	302769	338691
472	303700	338372
473	304347	337735
474	305163	337286
475	306002	336859
476	306750	336332
477	307453	335754
478	308103	335119
479	309036	334789
480	309712	334180
481	310343	333522
482	311060	332957
483	311633	332236
484	312218	331531
485	312867	330893
486	313441	330175
487	313989	329431
488	314561	328713
489	315274	328143
490	316211	327804
491	316795	327097
492	317385	326398
493	318271	326003
494	318874	325316
495	319636	324792
496	320358	324226
497	321207	323787
498	322012	323303
499	322691	322691
500	323383	322092
501	324410	321825
502	325168	321289
503	325840	320668
504	326421	319957
505	327077	319320
506	327655	318607
507	328230	317892
508	328781	317154
509	329410	316492
510	330170	315955
511	330817	315310
512	331439	314641
513	332229	314131
514	332816	313429
515	333460	312780
516	334198	312219
517	334766	311501
518	335487	310923
519	336026	310178
520	336519	309391
521	337147	308728
522	337769	308061
523	338447	307444
524	339015	306728
525	339787	306196
526	340498	305608
527	341085	304910
528	341863	304380
529	342536	303758
530	343231	303155
531	343847	302482
532	344372	301729
533	345510	301512
534	346282	300974
535	347012	300399
536	347629	299725
537	348205	299016
538	348770	298299
539	349439	297670
540	350313	297216
541	351051	296645
542	351881	296150
543	352758	295694
544	353336	294987
545	353956	294315
546	354558	293628
547	355354	293102
548	355880	292353
549	356812	291937
550	357462	291289
551	358104	290635
552	358802	290026
553	359527	289438
554	360399	288969
555	360942	288234
556	361529	287535
557	362120	286840
558	362975	286354
559	363549	285645
560	364126	284940
561	364658	284200
562	365165	283441
563	365774	282762
564	366395	282091
565	367170	281540
566	367926	280974
567	368555	280309
568	369497	279882
569	370151	279237
570	370808	278593
571	371545	278009
572	372020	277230
573	372567	276504
574	373046	275730
575	373560	274982
576	374031	274203
577	374472	273404
578	375189	272806
579	375736	272084
580	376442	271479
581	376959	270737
582	377486	270003
583	378075	269314
584	378652	268616
585	379191	267892
586	379704	267151
587	380166	266375
588	380798	265718
589	381462	265083
590	382300	264569
591	382806	263826
592	383659	263320
593	384355	262707
594	384864	261966
595	385300	261176
596	385793	260426
597	386364	259730
598	387108	259149
599	387714	258476
600	388234	257746
601	388712	256989
602	389395	256368
603	390203	255828
604	390819	255163
605	391319	254422
606	392148	253895
607	392653	253158
608	393171	252430
609	393716	251720
610	394246	251001
611	394759	250272
612	395312	249569
613	395823	248840
614	396499	248215
615	397177	247591
616	397769	246913
617	398492	246317
618	399226	245727
619	399745	245005
620	400477	244413
621	401187	243808
622	401738	243106
623	402289	242404
624	403000	241800
625	403776	241233
626	404330	240534
627	404908	239850
628	405434	239135
629	405966	238424
630	406594	237770
631	407229	237120
632	407942	236516
633	408533	235841
634	409207	235213
635	409740	234505
636	410244	233781
637	410766	233067
638	411240	232328
639	411777	231624
640	412333	230932
641	412851	230219
642	413420	229535
643	413930	228818
644	414578	228179
645	415221	227536
646	415823	226871
647	416419	226203
648	417124	225594
649	417733	224933
650	418455	224333
651	419053	223666
652	419618	222982
653	420355	222389
654	420895	221693
655	421721	221146
656	422282	220460
657	422835	219771
658	423563	219173
659	424152	218502
660	424796	217860
661	425517	217258
662	426209	216640
663	426951	216047
664	427455	215334
665	428000	214642
666	428586	213972
667	429330	213379
668	429966	212733
669	430444	212010
670	431092	211370
671	431623	210673
672	432280	210038
673	432898	209384
674	433753	208844
675	434356	208182
676	434992	207536
677	435645	206899
678	436380	206300
679	437198	205740
680	437878	205115
681	438715	204562
682	439616	204038
683	440195	203364
684	440973	202783
685	441770	202209
686	442365	201543
687	442960	200877
688	443540	200204
689	444089	199518
690	444709	198864
691	445229	198165
692	445741	197464
693	446310	196788
694	446976	196155
695	447735	195562
696	448456	194953
697	449358	194421
698	449945	193753
699	450748	193177
700	451476	192569
701	452254	191982
702	453053	191403
703	453780	190794
704	454287	190091
705	454976	189465
706	455739	188870
707	456238	188166
708	456849	187507
709	457601	186907
710	458416	186332
711	459025	185673
712	459877	185111
713	460454	184439
714	461014	183760
715	461625	183102
716	462499	182548
717	463122	181895
718	464024	181350
719	464990	180829
720	465589	180165
721	466246	179524
722	466944	178898
723	467812	178337
724	468611	177749
725	469233	177093
726	469902	176455
727	470695	175864
728	471520	175284
729	472128	174622
730	472667	173936
731	473306	173286
732	474184	172724
733	475057	172159
734	475908	171586
735	476454	170902
736	477037	170231
737	477877	169653
738	478487	168992
739	479183	168361
740	479732	167679
741	480369	167028
742	480791	166303
743	481414	165647
744	481944	164960
745	482578	164309
746	483101	163620
747	484084	163087
748	484807	162465
749	485471	161823
750	486133	161181
751	486686	160502
752	487219	159818
753	487920	159188
754	488434	158498
755	488989	157822
756	489416	157104
757	489960	156425
758	490556	155763
759	491028	155061
760	491645	154406
761	492178	153725
762	492889	153099
763	493614	152477
764	494145	151796
765	494683	151117
766	495258	150450
767	496019	149839
768	496628	149182
769	497152	148500
770	497675	147817
771	498113	147111
772	498648	146433
773	499427	145827
774	499966	145151
775	500620	144509
776	501240	143856
777	501790	143184
778	502328	142509
779	502930	141852
780	503495	141185
781	504327	140592
782	504931	139936
783	505445	139255
784	505907	138560
785	506529	137910
786	507013	137222
787	507529	136543
788	508045	135865
789	508557	135186
790	509105	134517
791	509652	133848
792	510144	133165
793	510615	132477
794	511171	131811
795	511698	131138
796	512246	130471
797	512720	129786
798	513372	129146
799	513883	128470
800	514329	127779
801	514782	127090
802	515362	126433
803	515945	125777
804	516463	125106
805	516962	124430
806	517604	123788
807	518461	123198
808	519069	122549
809	519597	121880
810	520232	121237
811	520821	120584
812	521343	119915
813	522339	119355
814	523020	118722
815	523512	118046
816	524121	117397
817	524727	116748
818	525358	116104
819	526179	115502
820	526755	114846
821	527288	114181
822	527766	113504
823	528490	112881
824	529071	112227
825	529806	111605
826	530392	110952
827	531099	110325
828	531733	109682
829	532407	109047
830	533144	108425
831	533772	107781
832	534576	107171
833	535169	106520
834	535725	105861
835	536261	105199
836	536984	104574
837	537446	103897
838	537962	103232
839	538479	102567
840	539005	101904
841	539621	101259
842	540141	100595
843	540703	99940
844	541348	99300
845	541752	98616
846	542302	97960
847	543032	97336
848	543530	96670
849	544024	96004
850	544712	95372
851	545386	94738
852	545981	94090
853	546577	93443
854	547108	92784
855	547641	92126
856	548175	91469
857	548791	90825
858	549472	90192
859	549965	89529
860	550614	88891
861	551134	88232
862	551675	87577
863	552237	86926
864	552841	86281
865	553388	85628
866	553909	84971
867	554357	84303
868	554824	83638
869	555330	82980
870	555786	82315
871	556277	81655
872	556816	81003
873	557431	80361
874	558031	79718
875	558625	79074
876	559178	78425
877	559766	77780
878	560318	77131
879	560910	76487
880	561525	75847
881	562046	75194
882	562677	74556
883	563344	73923
884	563921	73277
885	564729	72662
886	565505	72042
887	566080	71397
888	566666	70753
889	567332	70119
890	567949	69479
891	568541	68836
892	569031	68181
893	569598	67536
894	570212	66896
895	570893	66264
896	571731	65650
897	572271	65001
898	572862	64359
899	573396	63710
900	573922	63061
901	574623	62431
902	575371	61806
903	575930	61160
904	576450	60511
905	577220	59888
906	577730	59238
907	578456	58610
908	579135	57977
909	579654	57328
910	580257	56688
911	580688	56031
912	581305	55392
913	581832	54745
914	582480	54110
915	582986	53461
916	583652	52827
917	584366	52198
918	585004	51561
919	585696	50930
920	586302	50290
921	587049	49663
922	587597	49019
923	588175	48378
924	588663	47729
925	589405	47101
926	590016	46463
927	590827	45840
928	591408	45199
929	591964	44556
930	592405	43905
931	593134	43275
932	593758	42638
933	594265	41993
934	594794	41349
935	595334	40706
936	596011	40073
937	596588	39433
938	597159	38793
939	597859	38161
940	598404	37519
941	598942	36877
942	599427	36232
943	599990	35592
944	600639	34957
945	601293	34323
946	601868	33684
947	602370	33041
948	602893	32399
949	603303	31752
950	603842	31112
951	604358	30471
952	604871	29831
953	605550	29198
954	606045	28557
955	606762	27926
956	607491	27295
957	607996	26655
958	608518	26015
959	609013	25375
960	609562	24737
961	609965	24094
962	610582	23459
963	611188	22824
964	612003	22197
965	612678	21564
966	613292	20929
967	613838	20292
968	614453	19657
969	615036	19021
970	615979	18396
971	616522	17759
972	616953	17119
973	617694	16488
974	618337	15854
975	618897	15218
976	619494	14583
977	619997	13946
978	620526	13310
979	621022	12673
980	621557	12038
981	622208	11405
982	622809	10770
983	623333	10135
984	623860	9500
985	624504	8867
986	624983	8231
987	625744	7600
988	626268	6965
989	626719	6330
990	627251	5696
991	627727	5062
992	628175	4428
993	628917	3796
994	629467	3163
995	630034	2530
996	630577	1897
997	631314	1265
998	631995	632
999	632465	0
