iter	F1	Logloss
0	0.6570779905	0.6908995618
1	0.6496953581	0.6890676694
2	0.6343125788	0.6870815314
3	0.631249052	0.6851983048
4	0.6300590377	0.6834851736
5	0.6298596251	0.6817783663
6	0.6335872726	0.6802603997
7	0.6326994437	0.6787695182
8	0.6335259421	0.6772202213
9	0.6296851004	0.6757554485
10	0.6304243308	0.674637337
11	0.632040385	0.673376011
12	0.6334194222	0.6722934974
13	0.6371285629	0.6711660366
14	0.6367991019	0.6702178862
15	0.6371096465	0.6692449124
16	0.6354719064	0.6681662811
17	0.6354024717	0.6669545614
18	0.6342088598	0.6659044223
19	0.640330823	0.6648398704
20	0.641547757	0.6637660545
21	0.6446330068	0.662452554
22	0.6459422848	0.6617168541
23	0.6489174374	0.660584452
24	0.6535171505	0.6591388707
25	0.6518521787	0.6583932594
26	0.6527299788	0.6569022775
27	0.6516326542	0.656265929
28	0.6549028091	0.6549710119
29	0.655186706	0.6542823657
30	0.6541823756	0.6536618288
31	0.6543857753	0.6530074819
32	0.65457223	0.6524008596
33	0.6553796128	0.6517538554
34	0.6570195899	0.6507723975
35	0.6574793295	0.6500046631
36	0.6566830035	0.6494927596
37	0.6575340068	0.6486136487
38	0.6581520932	0.6480148769
39	0.657573685	0.647649446
40	0.6590062731	0.6465766367
41	0.6590189174	0.6460992803
42	0.6594033415	0.6457828462
43	0.6592094708	0.6453719527
44	0.6594759809	0.6449332864
45	0.6590543693	0.6445655776
46	0.6587402195	0.6442574006
47	0.659991123	0.6433839083
48	0.6590327597	0.6430236658
49	0.6590646177	0.6426619007
50	0.6589683154	0.6423168792
51	0.658720267	0.6418615699
52	0.6584553789	0.6414857666
53	0.6596548018	0.6408358089
54	0.6595357283	0.6403059661
55	0.6596843364	0.6396125699
56	0.6592622464	0.6393197225
57	0.6594193109	0.6386975191
58	0.6606130936	0.6378509634
59	0.6601754697	0.6374350329
60	0.659688673	0.6372114031
61	0.6595617035	0.6369296544
62	0.6599667546	0.6363723638
63	0.660588538	0.6358720957
64	0.6608815494	0.6356377083
65	0.6603819464	0.6351795647
66	0.6607632122	0.6349856313
67	0.6607775102	0.6348187581
68	0.6613873278	0.6342310658
69	0.6614490839	0.6336769405
70	0.6611433869	0.6334529164
71	0.6612499145	0.632911828
72	0.6620244991	0.6322745851
73	0.6626174504	0.6315957403
74	0.6633299085	0.6314104733
75	0.6636403096	0.6311906863
76	0.6641662385	0.6304327171
77	0.6647094956	0.6302442844
78	0.6650938056	0.6297782323
79	0.6648479824	0.6297024697
80	0.6645800564	0.6294843351
81	0.6646339222	0.6292738809
82	0.6645071148	0.6290206347
83	0.6647056314	0.6286153904
84	0.6647409918	0.6284974104
85	0.6647477387	0.6282947654
86	0.6651156374	0.6276792933
87	0.6653562228	0.6273610617
88	0.6657073656	0.6270109018
89	0.6660465597	0.6264526228
90	0.6660768632	0.6263482295
91	0.666069284	0.6262069546
92	0.666215223	0.6257494142
93	0.6663329423	0.6252677238
94	0.6667120264	0.6247493188
95	0.6667091446	0.6246511833
96	0.6666475312	0.6244277708
97	0.6669853386	0.6242720741
98	0.6669458166	0.6241671879
99	0.6670644446	0.623731446
100	0.6672346631	0.6235728979
101	0.6673165671	0.623232989
102	0.6671730367	0.6230662875
103	0.6672224055	0.6229632156
104	0.667307605	0.6228231657
105	0.6674163078	0.6225581043
106	0.6675389566	0.6224612731
107	0.6675666219	0.6223219835
108	0.6674815534	0.62222894
109	0.6675270352	0.6218425867
110	0.6675348935	0.6216841231
111	0.6675962484	0.6215425151
112	0.6680864172	0.6211174447
113	0.667978574	0.6208531631
114	0.6679231036	0.6207396265
115	0.6679558149	0.6206027539
116	0.6680687158	0.6205101373
117	0.668112301	0.6204155636
118	0.6682774935	0.6201507292
119	0.6683260952	0.6200634685
120	0.6683530844	0.6199820278
121	0.6686357755	0.6196790475
122	0.6687748601	0.6195632482
123	0.6688244196	0.6191015879
124	0.6686459278	0.6190263603
125	0.6687580909	0.6188873978
126	0.6687670061	0.6185810873
127	0.6689521753	0.6184469695
128	0.6688725674	0.6182615408
129	0.6689609646	0.6181899346
130	0.6689901656	0.6180904889
131	0.6692430984	0.617994738
132	0.6690927322	0.6178999456
